idx,matchtype,partid,ppartid
782,0,n894,777
783,0,n893,775
784,0,n892,774
785,0,n891,772
786,0,n886,773
787,0,n887,776
788,0,n888,779
789,0,n882,778
790,0,n895,780
791,0,n898,787
792,0,n896,782
793,0,n897,784
794,0,n889,781
795,0,n890,788
796,0,n884,783
797,0,n885,785
798,0,n913,795
799,0,n912,793
800,0,n911,792
801,0,n909,791
802,0,n904,789
803,0,n905,796
804,0,n899,790
805,0,n900,794
806,0,n914,802
807,0,n917,803
808,0,n916,800
809,0,n915,797
810,0,n907,798
811,0,n908,804
812,0,n901,799
813,0,n902,801
814,0,n932,811
815,0,n931,810
816,0,n930,808
817,0,n928,807
818,0,n923,805
819,0,n924,812
820,0,n918,806
821,0,n919,809
822,0,n933,817
823,0,n936,820
824,0,n935,816
825,0,n934,813
826,0,n926,814
827,0,n927,818
828,0,n920,815
829,0,n921,819
830,0,n951,827
831,0,n950,825
832,0,n949,824
833,0,n947,823
834,1,n942,undefined
835,0,n943,828
836,0,n937,822
837,0,n938,826
838,0,n952,834
839,0,n955,835
840,0,n954,832
841,0,n953,829
842,0,n945,830
843,0,n946,836
844,0,n939,831
845,0,n940,833
846,0,n968,837
847,0,n971,843
848,0,n969,839
849,0,n970,840
850,0,n957,842
851,0,n961,838
852,0,n962,844
853,0,n956,841
854,0,n972,845
855,0,n975,852
856,0,n973,849
857,0,n974,854
858,0,n967,853
859,0,n966,850
860,0,n965,848
861,0,n959,851
862,0,n964,847
863,0,n958,846
864,0,n985,855
865,0,n988,860
866,0,n986,856
867,0,n987,858
868,0,n980,861
869,0,n978,857
870,0,n979,859
871,0,n976,866
872,0,n989,862
873,0,n990,864
874,0,n991,867
875,0,n982,865
876,0,n983,868
877,0,n981,863
878,0,n984,869
879,0,n1005,873
880,0,n1004,872
881,0,n1003,870
882,0,n1000,871
883,0,n995,874
884,0,n994,875
885,0,n993,876
886,0,n1006,878
887,0,n1009,883
888,0,n1007,879
889,0,n1008,880
890,0,n1001,885
891,0,n996,877
892,0,n999,884
893,0,n997,881
894,0,n998,882
895,0,n1019,886
896,0,n1022,891
897,0,n1020,887
898,0,n1021,889
899,0,n1014,892
900,0,n1012,888
901,0,n1013,890
902,0,n1010,896
903,0,n1023,893
904,0,n1024,898
905,0,n1025,897
906,0,n1016,895
907,0,n1017,900
908,0,n1015,894
909,0,n1018,899
910,0,n1039,901
911,0,n1034,905
912,0,n1033,903
913,0,n1032,902
914,0,n1028,909
915,0,n1029,904
916,0,n1026,906
917,0,n1040,912
918,0,n1035,907
919,0,n1038,913
920,0,n1036,908
921,0,n1037,910
922,0,n1030,914
923,0,n1027,911
924,0,n1051,915
925,1,n1057,undefined
926,0,n1052,916
927,0,n1053,918
928,0,n1054,920
929,0,n1048,922
930,0,n1047,919
931,0,n1041,917
932,0,n1058,925
933,0,n1056,928
934,0,n1055,926
935,0,n1049,921
936,0,n1043,923
937,0,n1050,935
938,0,n1044,924
939,0,n1045,927
940,0,n1075,929
941,0,n1070,930
942,0,n1071,931
943,0,n1072,934
944,0,n1064,933
945,0,n1059,932
946,0,n1076,940
947,0,n1073,939
948,0,n1074,941
949,0,n1068,938
950,0,n1067,937
951,0,n1066,936
952,0,n1063,942
953,0,n1062,943
954,0,n1061,944
955,0,n1088,948
956,0,n1086,949
957,0,n1085,946
958,0,n1084,945
959,0,n1078,947
960,0,n1077,968
961,0,n1092,955
962,0,n1091,951
963,0,n1090,956
964,0,n1087,952
965,0,n1080,950
966,0,n1081,953
967,0,n1082,954
968,0,n1104,963
969,0,n1102,962
970,0,n1101,959
971,0,n1100,958
972,0,n1097,964
973,0,n1095,960
974,0,n1094,957
975,0,n1096,961
976,0,n1108,969
977,0,n1107,967
978,0,n1106,965
979,0,n1103,973
980,0,n1098,966
981,0,n1123,974
982,0,n1112,972
983,0,n1111,971
984,0,n1110,970
985,0,n1127,979
986,0,n1126,978
987,0,n1125,976
988,0,n1113,975
989,0,n1114,977
990,0,n1115,980
991,0,n1116,981
992,0,n1134,983
993,0,n1135,984
994,0,n1133,982
995,0,n1136,986
996,0,n1130,987
997,0,n1128,985
998,0,n1137,988
999,0,n1140,991
1000,0,n1138,989
1001,0,n1139,990
1002,0,n1132,993
1003,0,n1131,992
1004,0,n1129,998
1005,0,n1150,995
1006,0,n1149,994
1007,0,n1151,997
1008,0,n1152,999
1009,0,n1146,996
1010,0,n1147,1001
1011,0,n1156,1006
1012,0,n1154,1003
1013,0,n1153,1000
1014,0,n1155,1004
1015,0,n1148,1008
1016,0,n1145,1007
1017,0,n1144,1005
1018,0,n1143,1002
1019,0,n1166,1014
1020,0,n1164,1011
1021,0,n1163,1009
1022,0,n1162,1010
1023,0,n1157,1012
1024,0,n1168,1016
1025,0,n1165,1015
1026,0,n1159,1013
1027,0,n1160,1017
1028,0,n1179,1022
1029,0,n1177,1023
1030,0,n1170,1018
1031,0,n1171,1020
1032,0,n1172,1019
1033,0,n1180,1025
1034,0,n1173,1021
1035,0,n1176,1027
1036,0,n1175,1026
1037,0,n1174,1024
1038,0,n1189,1031
1039,0,n1187,1032
1040,0,n1185,1037
1041,0,n1184,1030
1042,0,n1183,1029
1043,0,n1181,1028
1044,0,n1193,1036
1045,0,n1192,1035
1046,0,n1191,1034
1047,0,n1188,1041
1048,0,n1186,1033
1049,0,n1203,1039
1050,0,n1202,1038
1051,0,n1204,1045
1052,0,n1200,1040
1053,0,n1195,1042
1054,0,n1194,1043
1055,0,n1206,1046
1056,0,n1207,1052
1057,0,n1201,1047
1058,0,n1196,1044
1059,0,n1199,1049
1060,0,n1197,1048
1061,0,n1198,1050
1062,0,n1219,1054
1063,0,n1218,1051
1064,0,n1220,1057
1065,0,n1213,1055
1066,0,n1208,1053
1067,0,n1211,1056
1068,0,n1209,1060
1069,0,n1210,1063
1070,0,n1224,1067
1071,0,n1223,1064
1072,0,n1222,1061
1073,0,n1221,1059
1074,0,n1214,1058
1075,0,n1215,1062
1076,0,n1216,1065
1077,0,n1212,1066
1078,0,n1238,1068
1079,0,n1239,1070
1080,0,n1233,1072
1081,0,n1232,1071
1082,0,n1231,1069
1083,0,n1225,1073
1084,0,n1237,1079
1085,0,n1236,1078
1086,0,n1235,1076
1087,0,n1234,1074
1088,0,n1241,1075
1089,0,n1227,1077
1090,0,n1229,1083
1091,0,n1228,1080
1092,0,n1251,1082
1093,0,n1254,1085
1094,0,n1252,1081
1095,0,n1253,1084
1096,0,n1247,1087
1097,0,n1248,1086
1098,0,n1243,1088
1099,0,n1255,1089
1100,0,n1258,1093
1101,0,n1256,1090
1102,0,n1257,1095
1103,0,n1250,1097
1104,0,n1249,1091
1105,0,n1245,1094
1106,0,n1244,1092
1107,0,n1271,1096
1108,0,n1272,1098
1109,0,n1273,1105
1110,0,n1267,1102
1111,0,n1266,1100
1112,0,n1261,1101
1113,0,n1260,1099
1114,1,n1259,undefined
1115,0,n1277,1110
1116,0,n1276,1109
1117,0,n1275,1108
1118,0,n1268,1103
1119,0,n1269,1106
1120,0,n1262,1104
1121,0,n1270,1113
1122,0,n1263,1107
1123,0,n1264,1111
1124,0,n1287,1112
1125,0,n1290,1117
1126,0,n1288,1114
1127,0,n1289,1115
1128,0,n1283,1118
1129,0,n1284,1119
1130,0,n1279,1116
1131,0,n1291,1120
1132,0,n1294,1125
1133,0,n1292,1121
1134,0,n1293,1124
1135,0,n1286,1128
1136,0,n1285,1123
1137,0,n1281,1127
1138,0,n1280,1122
1139,0,n1307,1126
1140,0,n1308,1129
1141,0,n1309,1136
1142,0,n1297,1132
1143,0,n1296,1131
1144,0,n1303,1133
1145,0,n1302,1130
1146,1,n1301,undefined
1147,0,n1312,1139
1148,0,n1311,1137
1149,0,n1313,1141
1150,0,n1298,1134
1151,1,n1299,undefined
1152,0,n1304,1135
1153,0,n1300,1142
1154,0,n1305,1138
1155,0,n1306,1140
1156,0,n1326,1148
1157,0,n1319,1149
1158,0,n1318,1144
1159,0,n1317,1143
1160,0,n1323,1151
1161,0,n1322,1146
1162,0,n1321,1147
1163,0,n1314,1145
1164,0,n1334,1157
1165,0,n1333,1156
1166,0,n1332,1152
1167,0,n1330,1155
1168,0,n1327,1150
1169,0,n1329,1158
1170,0,n1328,1153
1171,1,n1324,undefined
1172,0,n1325,1159
1173,0,n1315,1154
1174,0,n1348,1169
1175,0,n1340,1160
1176,0,n1341,1161
1177,0,n1343,1163
1178,0,n1342,1162
1179,0,n1338,1171
1180,0,n1335,1165
1181,0,n1344,1164
1182,0,n1347,1172
1183,0,n1345,1166
1184,0,n1346,1170
1185,0,n1339,1168
1186,0,n1336,1167
1187,0,n1359,1173
1188,0,n1362,1180
1189,0,n1360,1175
1190,0,n1361,1178
1191,0,n1351,1174
1192,0,n1354,1181
1193,0,n1352,1179
1194,0,n1353,1177
1195,0,n1349,1176
1196,0,n1368,1185
1197,0,n1363,1183
1198,0,n1367,1189
1199,0,n1364,1190
1200,0,n1365,1191
1201,0,n1355,1182
1202,0,n1358,1186
1203,0,n1357,1188
1204,0,n1356,1184
1205,0,n1350,1187
1206,0,n1381,1199
1207,0,n1377,1193
1208,0,n1379,1197
1209,0,n1378,1195
1210,0,n1373,1200
1211,0,n1372,1194
1212,0,n1371,1192
1213,0,n1374,1198
1214,0,n1369,1196
1215,0,n1384,1202
1216,0,n1383,1201
1217,0,n1385,1203
1218,0,n1380,1204
1219,0,n1375,1206
1220,0,n1370,1205
1221,0,n1400,1213
1222,0,n1397,1210
1223,0,n1396,1207
1224,0,n1398,1212
1225,0,n1389,1209
1226,0,n1388,1208
1227,0,n1390,1211
1228,0,n1404,1218
1229,0,n1402,1215
1230,0,n1403,1217
1231,0,n1399,1221
1232,0,n1391,1214
1233,0,n1394,1220
1234,0,n1392,1216
1235,0,n1393,1219
1236,0,n1418,1226
1237,0,n1414,1222
1238,0,n1416,1228
1239,0,n1415,1224
1240,0,n1410,1231
1241,0,n1406,1223
1242,0,n1408,1227
1243,0,n1407,1225
1244,0,n1421,1233
1245,0,n1420,1232
1246,0,n1422,1234
1247,0,n1417,1229
1248,0,n1409,1230
1249,0,n1436,1243
1250,0,n1432,1237
1251,0,n1434,1241
1252,0,n1431,1235
1253,0,n1433,1239
1254,0,n1428,1247
1255,0,n1424,1238
1256,0,n1426,1242
1257,0,n1423,1236
1258,0,n1425,1240
1259,0,n1439,1246
1260,0,n1438,1245
1261,0,n1440,1249
1262,0,n1435,1244
1263,0,n1427,1248
1264,0,n1452,1258
1265,0,n1450,1252
1266,0,n1441,1253
1267,0,n1443,1251
1268,0,n1442,1250
1269,0,n1451,1263
1270,0,n1449,1261
1271,0,n1444,1254
1272,0,n1447,1257
1273,0,n1445,1256
1274,0,n1446,1255
1275,0,n1465,1264
1276,1,n1463,undefined
1277,1,n1461,undefined
1278,0,n1453,1259
1279,0,n1456,1265
1280,0,n1454,1260
1281,0,n1455,1262
1282,0,n1467,1271
1283,0,n1464,1269
1284,0,n1462,1270
1285,0,n1457,1266
1286,0,n1460,1272
1287,0,n1459,1268
1288,0,n1458,1267
1289,0,n1483,1279
1290,0,n1482,1277
1291,0,n1481,1274
1292,0,n1477,1273
1293,1,n1480,undefined
1294,0,n1474,1278
1295,0,n1473,1276
1296,0,n1472,1275
1297,0,n1468,1280
1298,0,n1487,1287
1299,0,n1484,1281
1300,0,n1485,1283
1301,0,n1486,1285
1302,0,n1476,1286
1303,0,n1475,1284
1304,0,n1469,1282
1305,0,n1470,1288
1306,0,n1501,1298
1307,0,n1499,1292
1308,0,n1492,1289
1309,0,n1493,1290
1310,0,n1494,1294
1311,0,n1490,1293
1312,0,n1489,1291
1313,0,n1500,1297
1314,0,n1498,1300
1315,0,n1497,1296
1316,0,n1496,1295
1317,0,n1491,1299
1318,0,n1504,1303
1319,0,n1505,1302
1320,0,n1502,1304
1321,0,n1503,1301
1322,2,undefined,218
1323,2,undefined,485
1324,2,undefined,535
1325,2,undefined,616
1326,2,undefined,657
1327,2,undefined,680
1328,2,undefined,821
